pdf_page,column,raw_entry,entry,stage_bucket
132,right,art,art,compulsory_baseline
132,right,article,article,compulsory_baseline
132,right,artificial**,artificial,selective_required_new
132,right,artist,artist,compulsory_baseline
132,right,as,as,compulsory_baseline
132,right,ashamed**,ashamed,selective_required_new
132,right,Asia,Asia,compulsory_baseline
132,right,Asian,Asian,compulsory_baseline
132,right,aside**,aside,selective_required_new
132,right,ask,ask,compulsory_baseline
132,right,asleep,asleep,compulsory_baseline
132,right,aspect*,aspect,required_new
132,right,assess**,assess,selective_required_new
132,right,assign**,assign,selective_required_new
132,right,assistant**,assistant,selective_required_new
133,left,association**,association,selective_required_new
133,left,assume*,assume,required_new
133,left,assumption**,assumption,selective_required_new
133,left,astonish**,astonish,selective_required_new
133,left,astronaut**,astronaut,selective_required_new
133,left,astronomer**,astronomer,selective_required_new
133,left,at,at,compulsory_baseline
133,left,athlete*,athlete,required_new
133,left,Atlantic*,Atlantic,required_new
133,left,atmosphere**,atmosphere,selective_required_new
133,left,attach*,attach,required_new
133,left,attack*,attack,required_new
133,left,attain**,attain,selective_required_new
133,left,attempt*,attempt,required_new
133,left,attend,attend,compulsory_baseline
133,left,attention,attention,compulsory_baseline
133,left,attitude*,attitude,required_new
133,left,attract*,attract,required_new
133,left,audience*,audience,required_new
133,left,August,August,compulsory_baseline
133,left,aunt,aunt,compulsory_baseline
133,left,Australia,Australia,compulsory_baseline
133,left,Australian,Australian,compulsory_baseline
133,left,author*,author,required_new
133,left,authority*,authority,required_new
133,left,automatic**,automatic,selective_required_new
133,left,autonomous**,autonomous,selective_required_new
133,left,autumn,autumn,compulsory_baseline
133,right,available**,available,selective_required_new
133,right,average*,average,required_new
133,right,avoid,avoid,compulsory_baseline
133,right,awake,awake,compulsory_baseline
133,right,award*,award,required_new
133,right,aware*,aware,required_new
133,right,away,away,compulsory_baseline
133,right,awesome**,awesome,selective_required_new
133,right,awful,awful,compulsory_baseline
133,right,awkward*,awkward,required_new
133,right,baby,baby,compulsory_baseline
133,right,back,back,compulsory_baseline
133,right,background,background,compulsory_baseline
133,right,backward**,backward,selective_required_new
133,right,bacon**,bacon,selective_required_new
133,right,bad,bad,compulsory_baseline
133,right,badminton*,badminton,required_new
133,right,bag,bag,compulsory_baseline
133,right,bakery**,bakery,selective_required_new
133,right,balance*,balance,required_new
133,right,ball,ball,compulsory_baseline
133,right,ballet*,ballet,required_new
133,right,balloon,balloon,compulsory_baseline
133,right,bamboo,bamboo,compulsory_baseline
133,right,ban**,ban,selective_required_new
133,right,banana,banana,compulsory_baseline
134,left,band*,band,required_new
134,left,bank,bank,compulsory_baseline
134,left,bar*,bar,required_new
134,left,barbecue**,barbecue,selective_required_new
134,left,barely**,barely,selective_required_new
134,left,bark**,bark,selective_required_new
134,left,barrier**,barrier,selective_required_new
134,left,base*,base,required_new
134,left,baseball,baseball,compulsory_baseline
134,left,basic,basic,compulsory_baseline
134,left,basin**,basin,selective_required_new
134,left,basis*,basis,required_new
134,left,basket,basket,compulsory_baseline
134,left,basketball,basketball,compulsory_baseline
134,left,bat**,bat,selective_required_new
134,left,bath**,bath,selective_required_new
134,left,bathroom,bathroom,compulsory_baseline
134,left,battery*,battery,required_new
134,left,battle*,battle,required_new
134,left,bay**,bay,selective_required_new
134,left,BC**,BC,selective_required_new
134,left,"be (am, are, is)","be (am, are, is)",compulsory_baseline
134,left,beach,beach,compulsory_baseline
134,left,bean,bean,compulsory_baseline
134,left,bean curd (tofu)**,bean curd (tofu),selective_required_new
134,left,bear,bear,compulsory_baseline
134,left,beard**,beard,selective_required_new
134,left,beat,beat,compulsory_baseline
134,right,beautiful,beautiful,compulsory_baseline
134,right,beauty**,beauty,selective_required_new
134,right,because,because,compulsory_baseline
134,right,become,become,compulsory_baseline
134,right,bed,bed,compulsory_baseline
134,right,bedroom,bedroom,compulsory_baseline
134,right,beef,beef,compulsory_baseline
134,right,beer*,beer,required_new
134,right,before,before,compulsory_baseline
134,right,begin,begin,compulsory_baseline
134,right,behalf**,behalf,selective_required_new
134,right,behave**,behave,selective_required_new
